video_id,channel,country,views,likes,comments,published_at,fetch_date
uiB9xgbMehI,????kimmy kim,KR,864374,30954,3300,2025-02-06T09:00:56Z,2/13/2025 22:56
w-j7ps_7DmQ,???,KR,612083,13347,1433,2025-02-06T10:01:10Z,2/13/2025 22:56
cBOTQS9Xlr8,?????????,KR,387391,6003,622,2025-02-07T08:15:03Z,2/13/2025 22:56
aP93bntjRJg,ITSub???,KR,1185451,11419,2008,2025-02-07T11:45:00Z,2/13/2025 22:56
ZaHJj4P-y2c,?????? Captain Brother,KR,510751,13470,1161,2025-02-08T06:03:13Z,2/13/2025 22:56
NDsO1LT_0lw,MrBeast,KR,98246288,3699784,74495,2025-02-08T17:00:00Z,2/13/2025 22:56
KDorKy-13ak,NFL,KR,51987120,2188837,131369,2025-02-10T03:22:55Z,2/13/2025 22:56
UzH_L0wX5FE,??? (All of MBClassic),KR,221839,1512,205,2025-02-10T08:00:20Z,2/13/2025 22:56
UzH_L0wX5FE,??? (All of MBClassic),KR,221839,1512,205,2025-02-10T08:00:20Z,2/13/2025 22:56
rI99kfqg9p8,VIVINOS,KR,1286168,191749,15021,2025-02-10T09:00:54Z,2/13/2025 22:56
5UdpjF6YDLY,"????????Manim Five Co.,Ltd.",KR,181972,7475,980,2025-02-11T08:00:04Z,2/13/2025 22:56
gMjU5XJnc7E,Hebi.,KR,731945,25930,8041,2025-02-11T08:00:06Z,2/13/2025 22:56
w8EH9xFLkFI,????kimmy kim,KR,496412,20146,1532,2025-02-11T08:20:06Z,2/13/2025 22:56
9QHIgzfFL_I,,KR,290692,20290,4115,2025-02-11T09:30:02Z,2/13/2025 22:56
p0Cey_Ulp6k,?????????,KR,672895,8772,880,2025-02-11T12:01:19Z,2/13/2025 22:56
A_QC5dMzn9o,deemd ???,KR,253495,4437,870,2025-02-11T12:46:50Z,2/13/2025 22:56
cuyAto2WTtE,JISOO,KR,2086905,263366,13571,2025-02-11T15:00:54Z,2/13/2025 22:56
VJGyU2MYJWA,MBN Entertainment,KR,532661,7234,2511,2025-02-11T17:15:02Z,2/13/2025 22:56
dND3IMDFuzU,JennieRubyJaneVEVO,KR,1967638,271922,10959,2025-02-12T00:00:27Z,2/13/2025 22:56
gw5N84oD9PQ,TVING,KR,673493,12525,1112,2025-02-12T05:00:38Z,2/13/2025 22:56
VKhSoG8KPdA,Jaehee ???,KR,193448,8204,314,2025-02-12T06:15:02Z,2/13/2025 22:56
